Question,1,2,3,4,5
BNA_010,6,0,0,0,0
BNA_023,0,0,0,0,101
BNA_024,0,0,0,0,45
BNA_030,129,0,0,0,0
BNA_038,266,0,0,0,0
BNA_043,684,0,0,0,0
BNA_045,518,0,0,0,0
BNA_047,449,0,0,0,0
BNA_051,492,0,0,0,0
BNA_052,527,0,0,0,0
BNA_054,337,0,0,0,0
BNA_057,354,0,0,0,0
BNA_060,195,0,0,0,0
BNA_071,184,0,0,0,0
BNA_073,70,0,0,0,0
BNA_081,0,0,0,0,126
BNA_083,0,0,0,0,93
BNA_091,2,0,0,0,0
BNA_094,0,0,0,0,82
BNA_101,0,0,0,0,13
BNA_103,0,0,0,0,68
BNA_104,0,0,0,0,160
BNA_105,0,0,0,0,99
BNA_106,0,0,0,0,131
BNA_107,0,0,0,0,80
BNA_108,0,0,0,0,109
BNA_110,0,0,0,0,149
BNA_111,0,0,0,0,191
BNA_112,0,0,0,0,74
BNA_113,0,0,0,0,103
BNA_114,0,0,0,0,108
BNA_115,0,0,0,0,82
BNA_116,0,0,0,0,48
BNA_117,0,0,0,0,60
BNA_118,0,0,0,0,17
BNA_119,0,0,0,0,80
BNA_120,0,0,0,0,23
BNA_121,0,0,0,0,9
BNA_122,0,0,0,0,87
BNA_123,0,0,0,0,4
BNA_124,0,0,0,0,19
BNA_125,0,0,0,0,49
BNA_126,0,0,0,0,77
BNA_127,0,0,0,0,17
BNA_128,0,0,0,0,16
BNA_129,0,0,0,0,7
