Elevation,Area
100,69.29
200,277.35
300,619.46
400,445.40
500,420.35
600,463.09
700,514.59
800,585.97
900,729.66
1000,582.01
1100,414.04
1200,402.22
1300,343.18
1400,311.68
1500,305.22
1600,292.41
1700,271.42
1800,253.92
1900,226.90
2000,193.01
2100,173.51
2200,179.09
2300,188.51
2400,188.30
2500,170.34
2600,174.99
2700,178.37
2800,169.38
2900,163.78
3000,177.06
3100,173.37
3200,180.87
3300,203.05
3400,217.44
3500,246.09
3600,257.76
3700,237.80
3800,208.62
3900,169.07
4000,124.05
4100,91.44
4200,60.55
4300,41.23
4400,24.49
4500,13.96
4600,11.60
4700,5.59
4800,3.22
4900,2.58
5000,1.72
5100,2.15
5200,1.29
5300,1.29
5400,0.43
5500,0.43
