Question,1,2,3,4,5
010,0.03008850969039672,0,0,0,0
023,0,0,0,0,0.40968570723828657
024,0,0,0,0,0.1835442207613131
030,0.10961828610014253,0,0,0,0
038,6.781612769322325,0,0,0,0
043,45.90632736054852,0,0,0,0
045,38.48291066610265,0,0,0,0
047,44.25874118043543,0,0,0,0
051,17.194003129514872,0,0,0,0
052,14.752012832019549,0,0,0,0
054,64.8554854462441,0,0,0,0
057,62.17044169986107,0,0,0,0
060,43.52451967985936,0,0,0,0
071,37.484802688312165,0,0,0,0
073,15.071598242488207,0,0,0,0
081,3.6890666834047336,0,0,0,0
083,2.48536500008182,0,0,0,0
091,1.4164033028916339,0,0,0,0
094,2.7272770212884705,0,0,0,0
101,0.7051865192295069,0,0,0,0
103,0,0,0,0,0.06108337593158967
104,0,0,0,0,0.4288202309156156
105,9.240806257300498,0,0,0,0
106,0,0,0,0,3.3396836768932157
107,11.473380155781584,0,0,0,0
108,0,0,0,0,3.6859263348268905
110,22.373117670926504,0,0,0,0
111,0,0,0,0,3.961896649273495
112,0,0,0,0,3.098842438045664
113,18.20100695573008,0,0,0,0
114,0,0,0,0,1.209399493669145
115,14.144636009412146,0,0,0,0
116,9.543618299841214,0,0,0,0
117,1.0137289718498113,0,0,0,0
118,3.3916887068242447,0,0,0,0
119,2.2396269703189633,0,0,0,0
120,3.911537869800502,0,0,0,0
121,0,0,0,0,1.058599085582075
122,2.826022885886264,0,0,0,0
123,0,0,0,0,0.13916801126249448
124,0,0,0,0,4.029771531070881
125,0,0,0,0,6.6308398813703135
126,0,0,0,0,6.308351861202383
127,0,0,0,0,2.946831314291541
128,0,0,0,0,3.0858689365302645
129,0,0,0,0,1.8309326123685263
